NU_INSCRICAO,NU_NOTA_MT
c76ddf6e9f80984e901b12f9462a3cf029bea290,446.72
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,445.72
92823d467a2ced9529801e0e8a94802dd88f0c17,423.3
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,582.61
413cbb38b2e2522f8167ffb9daeac1347b281393,459.33
68985fad004092956a4b4ce94dd53dc76d07eaf7,486.19
bdca9aeb19521675af15f2c28d86f6bebc45a834,479.66
b65b19d42b7a4b644fe9f99366dcb37b120862d9,423.15
eda898aa8ec465cbac70de72ead0c6d688e5f95a,426.46
8d5c4481d736f6ce27976e400f4245bf10757608,424.56
c4cea54435c0fd0e171eed4c215479bb3ca86113,438.46
7d5cd89c6112b9a202a025a24355135bc60848c6,457.24
b70ab62384aa80545928a311f5b5d3db2f4d87ee,544.03
c96431dd924f366d2229a7f1455388b8cd85be49,567.88
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,426.04
e724482370ae6126008ade80b564ad8d8a0a7cbd,440.63
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,670.47
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,449.15
7f898f8939ae054359f83ee154bb91bc7dd2c959,566.28
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,464.35
82e3b12c6366008fabc238f299f117074e78de5d,414.27
0d838be0e718ceb786cdb10fcc12559e00440240,470.77
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,470.1
c83fe640ba466ba904ac1055e53a875289888797,446.94
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,456.08
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,416.93
328639a0c753715c30a58bae70c82f2101153eb3,439.47
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,551.6
f56746cc2900258507d2b32c126f8db090db856f,439.56
1a4963b5fea8bb25c67750cdafbe84b01efad177,416.27
b520c940e62f4ed684417e7eacf00d85752060da,476.69
2e170cf2651ed448991af6fc5df15167733b2d8f,465.32
6efdd93a0ae289be6bb5a400bfc1deb077d75886,417.49
72ac2acc787d8cba0934cca3810ac091d792c8db,504.72
92a25eee14554806f081869cc9dac868fd1860fb,433.8
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,415.68
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,442.49
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,524.63
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,434.94
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,456.28
0467e022da4ef897f666bc76f31e1bc8976f7e92,461.77
993aca0d5eac6741117947c82a3647102096255e,438.04
36bb672077a46a3e4755cef90437a616d28bdf23,428.66
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,397.73
328ca19128d276eb4fbc309c54ec7f346c803d2f,757.17
27cdb62f0a2a5467efeb30aafbf246ed2320c532,412.93
f9ef2695eb0986666093945894b8f2fee351bf22,492.46
8a021391cdaac100dab56c59284bd50137a74129,549.41
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,488.31
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,439.21
b9f786712775e0d1d735398d710b01f404c985a3,410.34
564958997e204bda06fbe90afc4722805c78a855,566.63
36f38ea81d1305770cd5153f1e1667fe8a1eb47f,417.68
5a42c3f801e77d628649a6c34f3a4e5b80f232f7,481.67
8296743fdd105ce9183561cf5b359b0a3781465e,418.42
6602c7f15a1fdd082265b64976448c6809df792d,441.15
31ae66f0fe024acae4490915c348e487f2367574,525.68
81901aa980653106e64863d957387d24e2c00af3,417.52
28e10d1bd0b6effe0edd503446ebda948ad240ad,425.73
53a7ee52a87f80241e2ca13c923e06b72bf3a059,412.67
0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,588.0
02681b5c893b94db204713cb4b20dde6fc3f2f95,531.5
6ce4c0e0784b3881b36b3d1c047ac6ad121681da,429.65
28c6829e69879bc1d34db1cd51b89562d3cc596b,507.3
ecb9f0d7a261c9f27865ea22f2e643701f721eb6,447.63
923538833160e8432636c88e8119378a43b3d766,433.05
aacb834258765a2959ee63c57d2be4923d11a696,450.75
c32e484025571dd94255a77f21de08ab8d2aaba8,476.3
d425deeec0a3c7006f14d732eff8933d5155067f,490.16
f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,456.32
716a178e9a6f7791b820da77879943ac9040a547,450.97
430212cd8767ef2bff8cda0f61729203fef7523e,424.78
e97d33221238e445688a0e984778d4ecac788be2,471.61
4bc5712bdb9067b1814e969e71d5cdad59bb38d4,490.66
0411742cbb54fe1b6927b25f0bb52b885828c828,433.46
780505a9d5fc3c6da53686c0cc8bd871f4db00bc,417.7
e4e7a38b58319ad0a5cde4848622b21783c907e9,461.98
9c5a0a82074c75cb072752d71da42b9c6c27b0a3,569.83
aec1b63c3f0c9554e533752d8fe138ca82101d4a,429.32
4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,463.64
4b48d500ba4410546ce01f7f6d44bcbafa73994f,419.27
edf33c347c866d26872f540bcc1f6ae415f3294c,442.66
54f4e6037b9d1eb4a2a134306d37176787f1c1d3,496.26
3a265ea6ebdc4eb2520db912adf5592f03b3d634,414.37
e418fbb77e6ff4103205f3b7f6a66d53183d809b,443.25
8ddbfe70cd41135cb6f125335a48d100789edbf7,409.31
1d3e406d0223d4cb0328850d689ba9fcadf62776,419.25
ecaf075653faf2dcdf946c0ce50629f5083347c0,454.18
7a2bba61a48894f9bd6fc981f77f2b627b0d8ae6,471.85
5b7877d12550dd35d27a02b66a13f2a27bce11ca,425.61
18f800ec03e33ebad5fb97aa8465dd3e5961337e,427.25
b05356be088f726b5ba7e0b0a9aa1b5cf4157b2a,475.9
cc8794762ffa592758b5117d67e0d02e2e8b9c49,505.31
894d277c608610fa8c31db531f64582b9569b2e9,420.24
b2e029961aa0f20071b74708e0d97e6f200ec582,453.62
64c4892488a9c6281bdabf467a0b5a6382d248e6,486.94
ac112e94587e6e4249b7182329ee5a5040ae94ea,523.43
a58cf11e498228f9aaca92b0c49f955a6163fb59,424.65
e8c84701c041b7f3b39f3125a0449fa633589fbe,490.14
af8dd560d9ea4adcfd0d2b6b5f81f95fad9c3222,604.71
ac9cc7dbe0e70fb6717aa371a23aa75e6594ec02,419.72
e64ad901853230e396be49311ea98121c348fac6,444.86
8532af19be3729ea233c1f29e4c015820fc7fb3a,483.6
6de1d7f2ad49d20e5782f8cacf4f0b677ff2d316,442.22
26853fd075fe27954772c3070997635b94f32b83,419.84
3159f29994dadd5cba1f94c3f3b9ac69e24c1cc2,520.06
574ec310dee846f9ae8eb278480257d463f6fbcc,478.69
8a46e35787225c3e7adef2b998ad9c93a952106b,510.97
b62bf908b504e8c6898777a7f5b88afed358caea,434.87
10d22971ca4f53fc62d02905809ff1c37fbb68fc,581.88
0efd9ad5eb41ad08e1f1af9fbe59eb5845323860,419.88
8f2c4684ec70392c718c278b10b04ddfbd4ced1f,568.64
c03f2bcf9ef69bcfdf270b6ffc6110408f0ead41,447.55
d76614020539405f481c0f5ffb9e6f88a0bf21b7,433.65
92acabe95cd7dd1ae1dd63547cde3a4939cf7e2e,469.83
ddbf5769bc4a6fb2aa16e5a031d8eb7796d1c04c,441.57
176b027cd932b17fcb6f119cfcef338a175062b8,414.83
41474f2dda61d97f38ba79906d3dbcce223d1bd1,511.94
1c5a1514e6a5c44e5683ec01698a83ce474c2e4d,475.05
d4e97da32ccb6987ec074aa48c24ce949c05a78c,421.37
95c1d266a2524560761df98b376c17604733a6ad,503.32
c11c4303d2632cde64105a35554ecb77a8564260,454.76
30ddf113f77266181ef7bf57ea7d4ca3f505fec7,472.12
6d94e9582cfdb5d239f21b3ba08b619d81c5e8aa,526.67
3671441f51dc0c3d052e87d6b8beba46bb70bfeb,438.66
580c34923cbde328e0aef1641dd02033fc862c04,445.28
29d8bf198da9caa59047268faca60207da24d1b7,518.04
1b3f80a1cd9fff0408e96169fcaf006936b34fed,440.86
b5932043b62e0c58e16e2cc2c9d5489390e5c895,450.64
99092cc60948943c59d68d62ed81a75a03059113,450.15
dd69fca6f17420dc911016a79e70583ca7ea330d,426.25
d387995af060965fb9d18973f3dbf4904f071066,415.34
27dbf6c09f5e0f3756ad3e9ea156fbc330601a6a,441.96
543674772357cf9d8a7a8e7dfb89384af80ec30e,497.98
80a12b8a4c9df4ef4f78a33d41858b6f1ea24144,434.07
0736d379ea0962e316ce84cce8e883321be36abb,420.79
98cc842c547c69a0d27776e272fd8b61131b0b37,417.16
890b7696fa85ca2b3e90b3951efec2135e88d5cf,457.18
f3c4cd2f095979416fcac08d630fb1b1623ba5d6,726.57
d84b48f7dc7a6e387e6e985525143589754c5b13,442.91
71c9f09a9ed64f1cf7ba1bef4a614ad21e00afc9,481.4
dc4fe9d4124d9278f58f6f999711116a3fe58be7,455.82
f6624d763619c0898b34dc02adf06f53a1721cd0,434.58
60b1c12559860e7ad966da4c4db5c78e17278fc0,491.93
4f365503582b97ea96462d0d36895a5e7f5926df,422.33
c80869804effb21d50cc8fff3f4c27ba5521240c,408.1
d0f351638d60e84b890a498d69c9a7961cdcdf36,435.26
48e8ec135997ff3676648d5c144c3c7150a7bbb1,423.27
45484014aefd10ea3e4b08fb93e66c251709cca6,427.34
ccd8d735f7b3c980582f9086a6cae8b9ce8dea54,427.14
b2e2d1aa1a539b402da8b8fe52520fdf9ed7cdd9,415.85
25c9e3b023d4d32d0f15cb9041ea6b2bfbec6a63,572.51
0fb75ce5f51e8afaf504c75de131eb31f89faf4f,424.38
26e6e8cec21236dfc21cf98812a3d99a3f87d99b,564.94
87f89c855f377c5b100ad2986cc6569e31d94a98,546.73
eaecf3dd32668664e1dcc2d6c7a69042824806a6,426.8
c59b370d3aa06b68878c836bceac844953d74972,426.59
8257941af168c0cc15f28bd596fd922352dae732,421.42
854ce153823802674f35bbe1ec010b12e9b3a56f,419.31
27f1db4e266b154f6f7fbef9c225fab472652a7b,426.36
11b90bed4a05d11169f308370faf81d6e9ca2c4f,417.38
e001e1d73163c327a4d800697b1b36cd6921f60d,475.33
b83424ca8973e4b2eebf6eb9e26e842999432d22,414.71
912d751c54b46c860c5ba61666fc6fc59ca2689d,401.71
e114f7b197069bde8e158a0dbeaa022dd0c4e280,432.22
fa84edf183bd459ea9394d77bdc191683a75ff66,579.67
76190ff09a736ff83169394b770699b2709c5a27,459.13
515db15df8581ae72bb8e8358833016adee74e02,442.15
e2a05053c19e6fba60d0e582e6c7f371728a7106,436.01
2378556841bc8d5746f2b94d6adefc2db20f9518,524.55
796d558152d241567f8a72b535a5e36fe78886f3,425.8
1093edca7a04127a6e04570ee9cb58ef1bc0a69a,521.11
3c748fc7a94edb7ac1484373751ffa8574a3281d,424.65
10a1e8808e744c619376bff659f859cd71e8c41d,424.98
fc959dafc37dde3f173f083486d84ce5c817443f,421.76
6979d91c0a1903a336c640e14eed100821a0e24d,436.39
d4e37c4c1235ce014392f6c8ba0436f195b9e459,516.71
565a955a60c6073157aa869c0351c626a7171ef3,510.98
99be797e423b5ae08fe342ea772738f71975df47,626.2
b579ea83f2d6c15b2c717d16a89827d65f39904b,455.12
e9373b5c22567bec508f2fa2580e4dc3ff687caa,530.74
a465af361b68bd536dd8bf61d522b9b21755ab60,497.09
c8feec2a94d996d03534ce935dec7a034667f107,783.26
af1890b4dbccbf8b6af56051a39bd4b13d1c971b,473.88
f4f7888cfe88b7a3b0f3d94749921976353ae82c,459.76
cdf60a765205a4e99eab17c72a68ff9cfd019dc6,461.41
2e466f15ac7b80870736fac2d0cf4bd7f362e852,420.08
fc83a5c665f70f39b4c7d326118cbf21a898e660,604.98
ced4913c2220be57c54bc9f87bb4f441d5976671,441.36
880ade460a231d722e8bb0e4d17f3c8f77663d37,413.64
7c869f5b89ddf3130c87011b6508ee59e32682c5,426.81
9027f65d4e576928ca59690c280050c53d66506a,653.47
09eb415bcb9842d207139c8bddf32427a134d51e,511.0
f8224c83e27f4921df62876f7ff660b1dab3d974,480.53
dfec3182aec0997207e0845b072498065ec89aac,659.16
d653549f6d0ba70e2113b2cc56e9a83e331d2462,547.86
e95674df974af80342f676ca9e3540aecec2b8dc,492.14
f9333cc1eb8af5bca5469d91e2c5d5f661b118ea,551.79
22d86e8b43a9412df86ec15ac231b9919e3ec905,447.65
1c61035799f6afe7f44c1fb68567d7a8945c3943,580.18
d5ed4b8732b0d7127a64f7e71137d321c56cc198,419.24
63edbbe59337f861a710bee4fe8a691d231f23da,415.72
21b8ef230efbfca6b5f15b36a3243d76ed390967,493.88
3de3c134579726fe4606b7a05f82ce19f00adb09,664.08
0f3f9e48790ed9d6ed17ff5e9cb989849b31cc8c,420.74
bdaf0955746c2cdd3b9ac2538c7502d312fffed8,413.62
520c60d32fd2af8be76abd332859b36d8ae45900,442.72
6cb6e2310b52c2898e500f81bea938446592568b,467.05
0193b535914e1c5a445bede11a408bf1709cd3cb,447.01
f3669f0c65dbf99cdf8f5f176587e84d5fc7560f,463.97
9b378e3937af8e97d4753cdf0c8917306354aaaf,447.04
1c92f54a5fe563622a0e23cf116461a7e147efd8,544.84
90facc45f7578775e3278aa0bd4fb59dad4d37c1,433.6
c8062c4cc7e023996bd37b87295f5a2957ddb172,465.18
f654c32a17935317b2e91d8e16aa8dcbf88e2ef2,572.81
7dd5b0fad5bd47ecbf2e047dee24866a9b5899d6,418.61
1b61f7e184c7040ae4cea725153965e1f7f75308,422.78
95a9c65324583892b2d1a0c1c5163488f92d4a6d,409.37
5b7e7632cf766876026d0da6aa7c6df77bc13438,434.42
96fd0462597b8cf21b1e918c1947106cd8359e5d,496.38
5c1cef937c40bf8c30c119160bedde7ef679454e,611.61
e39fbeab552a4b6492346d821d095c3a0d691555,434.01
93694c58636eabfe86550e734efb3775ba4d739f,487.13
8982636d1f9cc5832eddae4d8a04ee2c6adbaebd,681.88
6c05e70130682975c1485a862b6e08b895650671,418.16
8db36ae38c19710d51d3715a6b2a5ecd84f94ff4,412.49
15043d6ede69cc06a2f2a72afcb05c1cdb5870d6,410.23
283df09083d3c7bec2590f22355c7ba32ec88623,467.02
5ae9771e0cd24b8eb599de2e0fd2e04a26520dd3,560.92
23131f453efc29c2af9553d307692c60a3add1ae,441.89
da42a6267fe6eb7baa0a4fd2a18aad577e6889b2,416.3
5cd0dfc9a768868f28b11f9cf7870f11cc1ed185,497.36
cb4393cd17b5bdc120dbc15ddd255aa1f35ba090,418.77
72882a9cffe151d94be90e02ce3967a91b628099,463.14
cf62916c9829bd3ad05104151eee856d6de7ca1c,615.79
6b8f4241357e65c0491cc0ef96396f811574134c,440.78
268d48d0247f055ce2ebdd47cd5d1d3ec45246dc,415.54
afd0fa3f3fc672e3c5d6c21173b5ba3b8caa5c8e,451.51
8288badec4740382dbf7c33e4095cd4db0021bf7,413.53
5e139289eb167622f915eea3d1d6e49d15d1c873,472.63
fc050b2c8fa3446890fe1418332352177dd34506,438.37
8f309746992f374b4c2ea88f171233a9469ba649,436.21
ba1d192a71d5ac1a0b9a30bf3c80ef9dc59fefa2,454.65
145b6344526f9df32f4046c8227282477c51d69f,424.47
a22cd8d6b6ce7424065e477f2973bfd49b1ff2d6,452.69
b23775f4cd460ba687d77b058f2bc46381a0fbfe,433.11
87c4839ae2e1f274e88e7b9644fc1e1991d10aa2,642.3
d0c56c5d1e19653aeb2c6fdf16c80ed09270dcaa,443.77
2bf8abe8000927aeff885fdb26e82579b54bb657,415.7
dfcd80c91cf897b5a23dc36aeaeabf8137049ae0,483.42
3ef584654da4e658ecdffb68bc4398c97f850ccf,434.09
ea90166cae72eec871b4100ed8df997253bea84b,460.5
0e63d5d397c72b9c9ffa3974b3ccc8c228da98ca,495.61
39e7d2bf0be98a9698aa1369b7ca5576d392a777,436.45
01d88812b1d865b9797b9c57ed7538527593eb1d,547.6
879d82fe92a01214851fbeb62cd533fbc9d4ab87,546.15
bddbc541b26cbdc46bf0e2df980a3c8078f13cb9,446.66
a185d42f150631e1f22e1d81f965dda9833d0bec,427.26
c5994a51d6c24ee4360aee344cebf55bd01c39e3,502.36
bbe2574187920d91ca67a657c5a476f92f8ac142,427.95
8637d558542ccd4a1cd1d3ab336711edad60a966,443.46
88c22a24bf7c1f218cdd78973beb0e93d5fabbfa,429.09
4d12becc50fceaa6423313e98858cee7d438cc36,486.01
5c55594ff65d25732d6104cf60588ae877cb6e9c,604.17
ebd6ed760a482a95ddc04d78254761296ea73608,510.98
0a5d7cb6bd339bb5ed303bbba82a3c0e10b1a405,440.46
49a9374bc759c6a4d1f8fce5ade5908afe72803c,444.2
4f735bfdc3f9ff0ca502f569e2511fe07c48f16c,438.49
0f31c91179f811dc6de3d071914cba2716013473,418.2
0d5e00d498ff6f08f74dad2a0d8f566f0c82e978,454.83
a945e7b0eedbc6722edf61c6e9115199efa0e79b,617.28
b52cae71211465e9b76723d1dab3cbb973a76a5e,437.95
c64825379cc10911781e842c315951b835c0246d,429.04
3bbcc2404ed1002943c4a80215c47ff1ba31ebbf,473.4
d077ad9b71684906e32bdfefac01c893ff875c40,526.39
0e02316fc08deb2a0ccf7b606d3564cf17d6763a,425.15
44cb1704d691a020beab734f494635e2603af38b,436.96
c1605ac858a2c5e7a3d674bc0dc56b9bf9fc9b67,458.91
623b39408740e01c79d585779f119b7bd31aca5e,471.16
0954f039d7ce9b83b763b6406d3be54af9d386a0,435.18
feeb6dcbdd5c1d3978768ecfba0f415b01b8cb3b,443.93
bc764ff3e2905ae18491fcc46b2cf1812bf43771,589.68
4d0b3bca1ec9337bb27b9d6710702ebb79a90046,511.98
b62836e36b6a37a18823b0176647b31ed84bd759,424.78
48b56e1d641022967e5b2791de675d524b685afe,466.91
6432732876989f4279e03bea20c37a21e0ce488d,762.85
c322f8d156e174e549a44fdde96be32358ab85a3,420.34
92f7742f9719e14801466a45e33f904e27be2b17,440.57
8f00986f46ca0c0eb14d9d8e811919bb76d29fed,418.06
bfa438beba3914291e0978747404004f6ac79179,438.54
9ee6755fd1b35eb53b9ec0d1afeddae8b1d8f38c,465.84
ae6a72fb90a0c32b27c4aa45ff692c3783de2290,416.38
b10d3fcde629e4b68758d3dc58911a113837d255,467.79
2f63a217a4f812d4bb8e3a4a569d43ee7b36a2b2,412.08
587f219b07191d201677be07e43852b73a5dfeda,444.51
c669af3c60a62511990ed5f486c525285df59750,492.68
0dc0351a9da12f74bd5ebc918d60f9580be35182,427.17
20cf36f1ab557d2f44d1fba0291054ecb26d8a8a,415.74
d053a386f5497719e02334cc444acc545258bc3e,533.48
446a666ce7e015158181ce032e318a2ceffad8e1,455.6
ad896f169fe2e02c8cda5553fc0cb4aa100fee20,421.11
80069d0ec6aecb2f74d973c5bdc5c53ff2a48413,456.72
dc56167fb0ffcbf92624206591985da23ba078a3,441.76
10f8e410cadeee997d11e86ed5749c98c184f102,484.44
9c0cedfb49df5633bdc16bc263e8f574a1e283d2,443.29
b18c91072332db5e81e51adf0ad4a18c682fe025,418.05
0d6cc0da68e9b6242b5ce66bbc0ed812fc559874,447.57
040e479d45f83b7944be895d04b035489e544ab1,445.45
b505434998285eb78dfdb4341e4a29cc13a2130a,417.32
b16fb245d399e311b54c8f9edbe23b0814c8b6d7,417.89
1167115298a1ed2c659e1e365224311af48ff8e6,509.47
ce62d6ee9ae7ef876a5642ccf61e1acf7f6aa12c,409.98
386238d9cc8f497486ec335159e3d3fb59d9d57c,484.49
abafba1eacd1b34ef2e197683cc1d19e7c47cd9d,422.31
961f5a44f06750c88181c1809c6d002252b8d4e9,444.71
24605a2eda427ea715d61e72f5e40d6afd31bcfd,586.47
9810f9ad1fed4a44dd3150d3a93c2321402176f7,423.11
0b01e142abc07e710ae4f8a315866d95f16d592b,528.5
ab9b69839b48825032b5f4778eea40e321c1ece5,461.33
3004e0b4f4b454854f0bb254473aa012e17071fd,672.04
84083dec8994b0da91c7be5bd5cf540a92d367f9,407.76
c7edc5daf30c7d84bb0b858deb7b6f0cc58fcad7,501.4
55a278c454fb7415451563c61ed46f5d9dc352d6,492.25
051c748ebab016611de489dfc13b6616d1070361,436.42
e2f476ff901b0c67a7df201c865aca3219bfd803,490.34
7ae5a82f05c571cbccd3d1057aa2ee320633335c,448.4
1c86c6bc97a76e31219f8902c13627c0de70c6cb,484.01
e6b0a19633e93aa0e26b5644d0142d79c7526d5d,441.67
acbc30d483ea45980ae8919a1e608acbb560d796,525.16
d4cc2188bbe4365cbbec0d8e697f5f982d217c55,454.93
3c049c9981020ef5f6968e0eec4e6969fd2f4b0d,444.81
a5c39ced20251de476553163291f5141f9b66d1c,410.7
6d9409ae58f72c208c0ad1c8168080a8deeef8a2,436.85
85e6b7523bb635e5552fa91b4a79122118918668,519.95
5443c9e35006e84510c518efc894c075b606c83f,418.89
80b9f96ee31137fbe9158841eb193d26d6dd762b,461.39
6091d7a1acb022b664e212bbc322932384824ab4,426.92
828f1541b637d7781583e98f754bbb433f2d1dd8,499.25
aace2a613988d1619385514862b227ec1a616255,420.81
45a6fba80a860b768d6b4172b97e35f0b06db075,491.76
4b93629e017653c27a7ac99b9ed6fafa003a6777,484.41
ddd68576dd27c673687d8b04057adc396a75f566,445.02
ed9e6225f3914f90c61a39572bf1ad207688a3f0,453.17
270692d94f5e7f0d9dca2a1acf8f3ab24dbe1bf1,554.35
afcb620ab13d96348763196f200b6bf94ab1c060,445.13
7cfb1d64261039d25784ecc70e9bf286ac9492c9,471.67
4cf6407fb9c6a86e31d6e45ed7ba4e0531279d40,419.84
5dc2bf0223a2c68ccc7a74e5c61571c31eb62343,430.38
d6c682e729a33858ccdaf54a2a3c625c82ddc108,456.96
793d1bfef9d9f220421ffb7b334d6cc0bd005a59,593.31
0ff0abca7be65e556773ff1395550ef791c4d272,493.12
af5143b6372ff9e30d17884cead389c15fefde19,428.27
d1f6e0c6d574a1def695974263f5e1461d99e90f,630.21
31c2a0c6107ea4c62557f793221b4c341b73b958,412.97
650ed2fdd80680c747363dd1085dd191c60a0d8d,493.87
548cda0eb6595f3e63ff696ba2c76968d822e92e,441.59
6e54fe08c0b09ce7e1e97e331fe394ef9bc90ef7,456.12
4c314024a3148ca131970a181ffb67bc108c25f0,448.25
9175008ab4a7ec7a5eb989e56a73c49ad37a0da0,405.46
8276b13cbb842748278f0bb9434d9aa34b8764cf,548.64
dde3ec7e3489818a870e8346cbed7dd39ab15b55,516.7
3ee2b42396bdf4bc036a6cba96664f8ae93c6b8e,416.36
726756441f525880e8b6987fe2cb3e35b8bac203,473.7
cea2338f7449ee46b5492f075395096cd6c6f939,483.89
cbec7350314259d2ba8b3ceceb58a210df4bc681,492.43
9c24a3786f38a3b87cfbdf5a9a920e8d87a32fc6,421.51
02120ff284b0881ece778d68b6adf523440d0a43,628.15
0858ed38f44ef60f451b7a7fa78c0ebc08447ea0,527.11
37479cc6bea164d3d5a329917e99bf1256ca65a0,489.39
59de7100f8842a0de4e46a76d80fe9d2aae7501c,481.77
dee367db96e2cbf6b2a914ae684a5b212cdf5b62,505.5
814e4068b1c6635a9d815252bfb52588654bfa9a,493.56
3db74518ad8faadf00daef29f2aa1d9c2456677a,419.42
5c932a4bce9b2d1d17244a0ff664eb8079842b1b,442.56
ac9116f93ab30680484fecee10333e60a3400ea2,441.08
c23759ab3cb0c1798bb12b54a262ef445806afb3,434.36
2500339c0390a5cf28e1e8df0477e13fd4cdd674,416.92
b586f97dcd32cce5a58846e9451b362bb2610fab,457.35
ca29c819e5edfb5a2af0cc739b092c671cd0ef61,490.85
161dfb26aca998800deca1eeb4fbfe89a52feb49,491.24
f630e84d0fd9bff0d01e51e94ddf21d2d7458d0f,531.83
d7aecd6b60d8431c2c1e0751e9b9d7a9bdac1d34,465.34
8eba2f0dcd23a99655dec302ddeeb45a96353a2a,442.74
dd732838c9fd669241c08abaa56c01e8df68d05a,413.26
ced936a58ffe6323bb917e8aa72dd83e6bf6c1bd,458.93
bbbd21500338762a2e766e1f1e329f56dd1ad7b5,649.52
2bf1e3cfb43778286f4b43c4e1623b4ed5fa2d00,439.02
7f0e7b3bda0941ef1862a12cdeb7320f4e11bba9,414.89
9a40ea9a985309c004b97d695bdec0005ec0e34a,451.37
85615335c72589bd0172d257b352b1c4708660eb,476.05
0a0a040855f52d4ae73d3ecb7ea397c9c8b9c6e7,427.56
fa883407d61fec85d241503f3ab570c000a1b2db,482.76
a10efd91e30aef4700b875a2aa7758834913312a,411.04
cb6093db7de64440b441bced08f3e0cd07f65ea8,450.67
9633c263d32bd988f14096eabc30610389b0627d,434.13
7cac92147c231453d98ad465b2c4a8bd28efd7f8,586.33
0b5295131beb490a0e1d3ac1c77384b286d6eb04,432.89
ab58b4c5ab94887088e6d8616e04317fd31b46e3,603.43
c869448fb5b9ea47f647ea8005fd936725a048df,420.22
d3b6fda859d86b1c0dfc09cd748af1efc74065db,446.39
6f16236c5b24ac28b437cccd59e50edf8425813d,508.06
9b5386e595946817e6da09aa3d7087d9af4178c5,477.57
84323b71b3e94e9d38eff397d31288fadf0077db,529.36
f9f97be65995f788162d8315c36d620456363008,467.43
e0d95e457fb3e5df429c4818790d1c4a7b725868,429.23
4869c5203186da06b9facfc84abe6277cf60667b,433.16
c753aaec0115451ad117c6323c1185c3711dabe5,450.47
82414f56f360e219a988a32179e60d88dc2a6527,430.77
c4ac1a474728dfc62cbae6681c6b650d7c0c924c,419.95
ba7d6e94b21cf77c9356886ce4ceecf1937652dc,530.71
