field_0,dust,type,project,description,installs,links
901,962,O,eterm,Enlightened Terminal Emulator,530,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=620507
902,962,O,eterm,Enlightened Terminal Emulator,530,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=636759
903,180,RFP,ethereum-serpent,Ethereum Serpent language compiler,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=890566
904,704,O,etktab,ASCII guitar tab editor,36,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=812615
905,962,RFP,eudev,"udev fork, meant to be as independent as possible from s[..]",38,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=765971
906,312,RFA,eurephia,flexible OpenVPN authentication module,26,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=877914
907,310,RFP,everpad,Evernote client for GNU/Linux,2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=739637
908,318,RFP,evil-leader,Emacs addon providing 'leader' feature from Vim,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=828768
909,8,RFP,evm-jit,The Ethereum EVM JIT,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=859371
910,711,O,ewipe,Yet another presentation tool based on Tcl/Tk,10,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=836475
911,644,RFA,exactimage,fast image manipulation programs,425,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=843801
912,492,RFP,exciting,All-electron full-potential electronic-structure code,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=602097
913,422,O,execnet,rapid multi-Python deployment,617,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=840032
914,962,RFP,execpermfix,Fixes executable permissions,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=748562
915,449,RFP,exercism,learn programming in more than 30 languages by solving p[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=850825
916,1353,RFP,expect-lite,easy to use version of expect,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=729595
917,1175,RFP,exposong,A worship presentation software,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=713903
918,126,RFP,extinction,Fast interstellar dust extinction laws,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=850195
919,1479,RFP,fabtools,tools for writing awesome Fabric files,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=702298
920,338,RFP,facebook-insights,CLI to interact with Insights metrics in the Facebook Gr[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=826699
921,1712,RFA,facile,functional constraint library implemented in OCaml,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=731586
922,281,O,faifa,manage HomePlug 1.0/AV devices via ethernet frames,62,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=881004
923,651,RFP,fail2go,Go library for communication with fail2ban via its serve[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=764634
924,962,RFP,fail2rest,REST server for fail2ban,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=764309
925,191,RFP,falco,Sysdig Falco is a behavioral activity monitor designed t[..],4,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=842306
926,121,RFP,farbfeld-util,Programs for converting and working with pictures (with [..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=895793
927,962,RFP,fasterxml-oss-parent,FasterXML.com parent pom,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=760829
928,981,RFP,fatfingershell,terminal emulator for Linux mobile devices,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=671288
929,303,RFP,fatx [1] [2],Complete XBOX filesystem support (FATX),4,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=829627 https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=829636
930,1726,RFP,favicon,Downloader - a KeePass plugin that downloads and stores [..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=729369
931,3136,RFH,fbcat,framebuffer grabber,194,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=565156
932,534,O,fbpager,a pager application for the Fluxbox window manager,270,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=845985
933,937,RFA,fbreader,e-book reader,3340,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=808074
934,774,O,fbset,framebuffer device maintenance program,1159,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=823965
935,774,O,fbset,framebuffer device maintenance program,1159,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=740580
936,1479,RFP,fcgi-daemon,Perl-aware FastCGI daemon,2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=650198
937,1824,RFP,fcitx-handwrite,"an GTK+ frontend, zinnia based handwrite input method fo[..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=642319
938,408,RFP,fdio-vpp,Open Source Vector Packet Processing Platform,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=819516
939,705,RFP,fdmf,find duplicate music files,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=490135
940,729,RFP,feature-mode,major mode for editing Gherkin user stories in Emacs,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=825051
941,519,RFP,fedora-liveusb-c[..],Cross-platform tool for installing live operating system[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=718301
942,1469,RFP,feincms-elephantblog,simplistic blog engine for FeinCMS,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=672581
943,2450,O,ferret,CASE tool for data model editing,55,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=618938
944,1479,RFP,festige,GUI for fst and dssi-vst,7,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=603293
945,1623,O,ffe,Tool for parsing flat and CSV files and converting them [..],58,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=740921
946,731,RFP,ffmulticonverter,graphical multi format converter,177,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=780041
947,1820,RFP,fftpack,FORTRAN library of fast Fourier transforms,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=657824
948,774,RFH,fgetty,console-only getty & login (issue with nis),987,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=823266
949,529,RFH,fgetty,console-only getty & login (issue with nis),987,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=823061
950,554,RFP,fgsl,A Fortran interface to the GNU Scientific Library,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=854323
951,607,RFP,fiche,Server for command line pastebin for sharing terminal output,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=848338
952,1113,RFP,fidocadj,a multi-platform editor for electronics,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=708312
953,125,RFP,field,extracts a list of fields from a file,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=830983
954,1347,O,fig2ps,"Converts xfig files into ps, eps or pdf files using LaTe[..]",328,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=772449
955,104,O,file-kanji,kanji code checker,28,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=897562
956,1353,RFP,file-uploader,file upload library for webpages,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=719793
957,531,RFP,filebench,file system and storage benchmark with flexible workload[..],1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=655222
958,1774,RFP,filemanager-avs,a little application which uses the ClamAV library to sc[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=725481
959,639,RFA,filepp,generic perl-based file pre-processor for text files,16,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=819366
960,1615,O,fileschanged,command-line utility that reports when files have been a[..],41,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=741634
961,823,O,filter,filter local email via forward/pipe,13,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=814851
962,962,RFP,finalterm,Modern terminal emulator,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=714028
963,283,RFP,firebird-emu,Third-party emulator of the ARM-based TI-Nspire calculators,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=880826
964,1486,RFP,firebreath,cross-platform browser plugin framework,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=675923
965,42,RFP,firefox-syncserver,Firefox Sync storage and token server,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=900867
966,927,RFP,firefox-tab-groups,Mozilla announced discontinuing the Tab Groups feature [..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=812880
967,537,RFP,firetable,"An iptables firewall management script, written in PHP",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=686790
968,614,O,fische,stand-alone sound visualisation for Linux,45,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=847410
969,614,O,fishpoll,client for the Fishpoll server,2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=847519
970,6,RFP,fisicalab.app,Educational Physics application for GNUstep,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=550231
971,186,RFP,fizmo-remglk,Remglk-Frontend to the fizmo Z-Machine interpreter,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=843468
972,1447,RFP,flac123,a command-line program for playing FLAC audio files.,5,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=759198
973,335,RFP,flac2mp3,FLAC to MP3 batch converter,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=875768
974,1479,RFP,flakey,code checker using pep8 and pyflakes,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=699299
975,1786,O,flam3,render and animate FLAM3s and manipulate their genomes,159,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=711285
976,593,RFP,flashplugin-nonf[..],Adobe flash for Pepper plugin API,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=849424
977,351,O,flask-babel,internationalization and localization support for Flask,4348,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=873649
978,231,RFP,flask-bootstrap,Python Flask extension for Twitter Bootstrap,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=817958
979,351,O,flask-openid,OpenID support for Flask applications,607,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=873651
980,711,O,flask-principal,identity management for Flask,381,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=836500
981,142,RFP,flask-restless,Flask extension which provides simple generation of ReST[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=833920
982,1479,RFP,flaskext.uploads,Upload handling utility for flask applications,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=647573
983,2251,O,flexbackup,Flexible backup tool for small to medium sized installations,100,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=677708
984,458,RFA,flightcrew,C++ epub validator,79,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=861997
985,384,RFP,flipcoin,flip an adjustable coin for random exit status,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=822221
986,192,RFP,fllog,Amateur Radio Logbook Server,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=774923
987,191,RFP,flnet,Amateur Radio Net Control Station Software,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=774925
988,655,RFP,flocker,Flocker is an open-source Container Data Volume Manager [..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=793658
989,623,RFP,flot-plugin-byte,plugin for Flot plotting library to display byte values [..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=770271
990,623,RFP,flot-plugin-coll[..],collection of miscellaneous flot plugins,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=770272
991,64,O,flow-tools,collects and processes NetFlow data,276,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=858691
992,1740,O,flowscan-cuflow,A CGI interface for flowscan-cuflow,21,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=644612
993,1740,O,flowscan-cuflow,Flowscan module combining CampusIO and SubNetIO,21,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=729032
994,1365,RFP,flowtype,static type checker designed to find type errors in Java[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=770111
995,1648,O,flpsed,a WYSIWYG pseudo PostScript editor,431,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=738473
996,761,RFP,fluxgui,f.lux indicator applet is an indicator applet to control[..],49,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=831422
997,594,RFP,flwkey,Interface to the Winkeyer series of CW code generators,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=774922
998,21,RFA,flycheck,modern on-the-fly syntax checking for Emacs,170,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=904240
999,566,O,fnfx,ACPI and hotkey daemon for Toshiba laptops,13,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=852527
1000,712,O,fofix-dfsg,rhythm game in the style of Rock Band(tm) and Guitar Her[..],72,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=836421
1001,1248,O,foiltex,collection of LaTeX files for making foils and slides,622,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=780549
1002,733,RFP,folly,library of C++11 components designed with practicality a[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=734188
1003,518,RFP,font-ttf-scripts[..],TTF font support scripts for Perl,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=614917
1004,1634,RFP,fontconfig-infin[..],The purpose of these patches is to freely provide the ni[..],156,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=739842
1005,1613,RFP,fontik,A font configuration GUI,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=696880
1006,196,RFP,fonts-adobe-source [1] [2],set of OpenType fonts designed for user interfaces,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=683774 https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=736680
1007,196,RFP,fonts-adobe-source,set of OpenType fonts designed for user interfaces,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=810261
1008,196,RFP,fonts-adobe-sour[..] [1] [2],A sans-serif Pan-CJK font family that is offered in seve[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=755382 https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=755383
1009,196,RFP,fonts-adobe-sour[..] [1] [2],A sans-serif Pan-CJK font family that is offered in seve[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=755385 https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=755386
1010,83,RFP,fonts-apropal,"Sans-serif font for decorative signs, one of the Warsaw [..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=849811
1011,1353,RFP,fonts-autonym,A font that can render all language autonyms,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=729859
1012,172,RFP,fonts-churchslavonic,This package provides OpenType and TrueType fonts for Ch[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=844985
1013,962,RFP,fonts-clear-sans,A stylish and sharp on-screensans-serif font by Intel,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=736370
1014,1713,RFP,fonts-courier-prime,"It's_Courier, just_better.",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=730344
1015,895,RFP,fonts-crimson-text,nice true type font,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=816598
1016,962,RFP,fonts-ekmukta,"humanist, mono-linear typeface for Devanagari and Latin [..]",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=757249
1017,8,RFP,fonts-fandol,Fandol fonts designed for Chinese typesetting,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=861720
1018,286,RFP,fonts-fira,sans-serif font family released with FirefoxOS,7,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=724629
1019,1353,RFP,fonts-gandhi,A sans serif and serif version of,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=719605
1020,160,RFP,fonts-genericons,vector icons embedded in a webfont,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=844624
1021,1836,RFP,fonts-googlechromeos,Default fonts of Google ChromeOS,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=699469
1022,982,RFP,fonts-hasklig,a code font with monospaced ligatures for Haskell symbols,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=807287
1023,195,O,fonts-humor-sans,Font that looks like handwritten text,490,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=859180
1024,1129,RFP,fonts-incolsolat[..],inconsolata font with cyrillic and greek glyphs,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=792256
1025,1479,RFP,fonts-indic-nonfree,Non free fonts for Indian languages,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=541690
1026,1328,O,fonts-jsmath,TeX fonts to display jsMath pages,1856,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=773953
1027,962,RFP,fonts-labiryntow[..],Font looking like a maze,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=749787
1028,1795,RFP,fonts-liberastika,Fork of Liberation fonts with improved cyrillics,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=723012
1029,1392,RFP,fonts-new-athena[..],Multilingual font distributed by the American Philologic[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=723009
1030,962,RFP,fonts-orbitron,geometric sans-serif typeface intended for display purposes,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=766211
1031,1481,RFP,fonts-osp-din,DIN 1451 font from Open Source Publishing,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=693582
1032,1656,RFP,fonts-oswald,A modern reworking in the style of 'Alternate Gothic' sa[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=737345
1033,386,RFP,fonts-parmaite,Tengwar TrueType font,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=780681
1034,557,RFP,fonts-pompiere,a playful script font,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=803690
1035,568,RFP,fonts-pt,PT (Public Type) fonts are free TrueType cyrillic fonts,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=787898
1036,213,RFP,fonts-pt-astra,metric-compatible Times New Roman and Arial alternatives,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=840361
1037,539,RFP,fonts-pt-sans,Public Types of Russian Federation - sans serif,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=801787
1038,476,RFP,fonts-rabat,Arabic Maghribi Mabsout OpenType font,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=729749
1039,962,RFP,fonts-raleway,elegant sans-serif typeface designed in a single thin weight,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=754784
1040,225,RFP,fonts-reemkufi,Fatimid Kufic typeface,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=827735
1041,962,RFP,fonts-sahl-naskh,a fork of Droid Arabic Naskh font,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=739504
1042,576,RFP,fonts-sil-doulos[..],Cipher Music Notation font,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=801778
1043,602,RFP,fonts-sil-javanese,Javanese smart Unicode fonts,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=780482
1044,576,RFP,fonts-sil-unicod[..],debugging font for Unicode Basic Multilingual Plane,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=801777
1045,196,RFP,fonts-source-cod[..],set of fonts designed to work well in GUI,5,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=736681
1046,632,RFP,fonts-source-ser[..],set of serif OpenType fonts designed to complement Sourc[..],2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=750450
1047,725,RFP,fonts-terminus,Terminus monospace fonts (TrueType),3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=785370
1048,962,RFP,fonts-wikipedia,Meta package to install all fonts supported by Wikipedia,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=729944
1049,734,O,fookebox,web-based jukebox frontend to mpd,10,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=833978
1050,962,RFP,force-bind,forcer-bind is a shared object that is loaded with LD_PR[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=748952
1051,138,RFP,foreman,puppet dashboard and node classifier,76,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=663101
1052,892,RFP,foreman-ansible-[..],Foreman dynamic inventory script for ansible,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=816894
1053,3123,O,fortunes-ru,Russian data files for fortune,106,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=566149
1054,1022,RFP,foswiki-caslogin[..],CAS LoginManager for Foswiki,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=495428
1055,41,RFP,fpm,Effing Package Management,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=688896
1056,35,RFP,fpm,"build packages for multiple platforms (deb, rpm, etc) wi[..]",3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=858544
1057,70,RFP,fractal,Matrix group messaging app,4,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=900928
1058,111,RFP,framadate,online service for planning an appointment,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=876496
1059,85,O,frame,Touch Frame Library,1,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=899330
1060,655,RFP,freap,audio converter and CD ripper,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=842415
1061,648,RFP,freebasic,32-bit BASIC compiler with MS-QuickBasic compatibilty,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=412060
1062,960,RFP,freecad-extras-*,additional macros and workbenches for FreeCAD,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=809295
1063,995,RFP,freedict-ara-eng,Dict package for Arabic-English Freedict dictionary,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=505424
1064,995,RFP,freedict-eng-ara,Dict package for English-Arabic Freedict dictionary,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=505511
1065,476,RFP,freefall,daemon to protect disk for laptops with supported sensors,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=785590
1066,334,O,freefem,"PDE oriented language using Finite Element Method, sever[..]",343,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=835016
1067,1824,RFP,freefilesync,folder comparison and synchronization tool.,7,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=648610
1068,686,RFP,freehearingtest,Free Hearing Test Software,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=839092
1069,224,RFH,freeipmi,GNU implementation of the IPMI protocol,372,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=628062
1070,80,O,freelan,Peer-to-peer virtual private network daemon,22,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=900235
1071,1328,RFP,freeminer,Multiplayer infinite-world block sandbox,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=773931
1072,814,RFP,freenet,An anonymity and free-speech protecting decentralised da[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=481163
1073,669,O,freepwing,EB to JIS X 4081 converter,17,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=840887
1074,632,RFH,freerdp,RDP client for Windows Terminal Services (X11 client),7,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=799759
1075,568,RFP,FreeROI,a tool for defining region of interest in fMRI analysis,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=764728
1076,356,RFP,freerouter,routing suite in java,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=783482
1077,980,RFP,freesurfer,analysis and visualization of functional brain imaging data,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=628183
1078,757,RFP,freesynd,Free implementation of the Syndicate engine,2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=404762
1079,733,O,freewnn,network-extensible,85,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=781433
1080,733,O,freewnn,network-extensible,85,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=714683
1081,1052,RFP,frege-lang,Haskell implementation for the Java Virtual Machine,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=800401
1082,184,RFP,freight,easy-to-understand shell script to handle APT repositories,3,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=843120
1083,26,RFP,fricas,computer algebra system,2,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=890525
1084,448,RFP,friendica,PHP/MySQL based decentral social network platform,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=651944
1085,448,RFP,frr,The FRR suite of dynamic routing protocols,16,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=863249
1086,721,O,fruit,"chess engine, to calculate chess moves",408,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=835305
1087,15,RFP,fsleyes,feature-rich viewer for volumetric images,81,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=861327
1088,81,O,fslint,Utility collection to find and fix common errors in file[..],1841,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=900096
1089,962,RFP,fsmap,Graphical description in a concept map of the free softw[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=576881
1090,1481,RFP,fsniper,daemon to run scripts based on changes in files monitore[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=694936
1091,661,RFP,fsniper,daemon to run scripts based on changes in files monitore[..],0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=695765
1092,317,O,fspy,filesystem activity monitoring tool,49,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=866825
1093,1613,RFP,fsthost,"A linux VST host using winelib, fork of FreeST",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=703123
1094,478,RFP,fsthost,"A linux VST host using winelib, fork of FreeST",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=703115
1095,1401,O,fstrcmp,fuzzy comparison of strings,28,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=765334
1096,2073,O,fsvs [1] [2],Full system versioning with metadata support,18,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=657271 https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=671349
1097,600,O,fsvs,Full system versioning with metadata support,18,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=656100
1098,962,RFP,fsyringe,a command line tool to inject or extract data from a file.,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=732053
1099,848,O,fte,Text editor for programmers - base package,233,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=525314
1100,80,O,fteproxy,programmable proxy for censorship circumvention,7,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=900229
1101,1001,O,ftjam,"FreeType version of Jam, a replacement for make",18,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=787778
1102,457,O,ftp-upload,put files with FTP from a script,111,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=862641
1103,1936,O,fts,Modular TFTP/Fuse supplicant,10,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=706289
1104,1259,RFP,fudgit,A double-precision multi-purpose fitting program,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=516627
1105,263,RFP,fuel,data wrangler for Blocks (deep learning framework),0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=835867
1106,421,RFP,fuel-ui,OpenStack Fuel deployment server - Web GUI,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=818396
1107,1264,RFP,fullcalendar,"jQuery plugin providing a full-sized, drag & drop calendar",0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=606901
1108,564,RFP,funcdesigner,Python module for rapid prototyping of functions with AD,0,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=631206
